,S0,S1,S2,S3,S4,S5,S6,bottleneck
183,180.627,8.164999999999992,57.331,16.932999999999993,11.12899999999999,6.290999999999997,13.866000000000014,S0
184,181.627,9.164999999999992,58.331,17.932999999999993,12.12899999999999,7.290999999999997,14.866000000000014,S0
185,182.627,10.164999999999992,59.331,18.932999999999993,13.12899999999999,8.290999999999997,15.866000000000014,S0
186,183.627,11.164999999999992,60.331,19.932999999999993,14.12899999999999,9.290999999999997,0.6500000000000057,S0
187,184.627,12.164999999999992,0.7280000000000086,20.932999999999993,0.7280000000000086,10.290999999999997,1.6500000000000057,S0
188,185.627,13.164999999999992,1.7280000000000086,21.932999999999993,1.7280000000000086,11.290999999999997,2.6500000000000057,S0
189,186.627,14.164999999999992,2.7280000000000086,22.932999999999993,2.7280000000000086,0.5449999999999875,3.6500000000000057,S0
190,187.627,15.164999999999992,3.7280000000000086,23.932999999999993,3.7280000000000086,1.5449999999999875,4.650000000000006,S0
191,188.627,16.164999999999992,4.728000000000009,24.932999999999993,4.728000000000009,2.5449999999999875,5.650000000000006,S0
192,189.627,17.164999999999992,0.8199999999999932,25.932999999999993,0.8199999999999932,3.5449999999999875,6.650000000000006,S0
193,190.627,18.164999999999992,1.8199999999999932,26.932999999999993,1.8199999999999932,4.5449999999999875,7.650000000000006,S0
194,191.627,19.164999999999992,2.819999999999993,27.932999999999993,2.819999999999993,5.5449999999999875,8.650000000000006,S0
195,192.627,20.164999999999992,0.7069999999999936,28.932999999999993,0.7069999999999936,6.5449999999999875,9.650000000000006,S0
196,193.627,21.164999999999992,1.7069999999999936,29.932999999999993,1.7069999999999936,7.5449999999999875,0.11600000000001387,S0
197,194.627,22.164999999999992,2.7069999999999936,30.932999999999993,2.7069999999999936,8.544999999999987,1.1160000000000139,S0
198,195.627,23.164999999999992,3.7069999999999936,31.932999999999993,3.7069999999999936,9.544999999999987,2.116000000000014,S0
199,196.627,24.164999999999992,4.706999999999994,32.93299999999999,4.706999999999994,10.544999999999987,3.116000000000014,S0
200,197.627,25.164999999999992,5.706999999999994,33.93299999999999,5.706999999999994,11.544999999999987,4.116000000000014,S0
201,198.627,26.164999999999992,6.706999999999994,34.93299999999999,6.706999999999994,12.544999999999987,0.842000000000013,S0
202,199.627,27.164999999999992,7.706999999999994,35.93299999999999,7.706999999999994,13.544999999999987,1.842000000000013,S0
203,200.627,28.164999999999992,8.706999999999994,36.93299999999999,0.26300000000000523,14.544999999999987,2.842000000000013,S0
204,201.627,29.164999999999992,9.706999999999994,37.93299999999999,1.2630000000000052,15.544999999999987,3.842000000000013,S0
205,202.627,30.164999999999992,10.706999999999994,38.93299999999999,2.2630000000000052,16.544999999999987,4.842000000000013,S0
